TM01 Focus Punch,Oreburgh Gate,on the ground,0,
TM02 Dragon Claw,Mt. Coronet ~ B1F,on the ground,0,
TM03 Water Pulse,Route 218,on the ground,1,
TM04 Calm Mind,Solaceon Ruins,on the ground,1,
TM05 Roar,Route 213,on the ground,0,
TM06 Toxic,Route 212 ~ South,on the ground,0,
TM07 Hail,Route 217,on the ground,0,
TM08 Bulk Up,Route 205 ~ South,on the ground,1,
TM09 Bullet Seed,Route 204 ~ South,on the ground,0,
TM10 Hidden Power,Jubilife City,Gift from NPC,1,
TM11 Sunny Day,Route 212 ~ North,on the ground,0,
TM12 Taunt,Route 211 ~ West,on the ground,0,
TM13 Ice Beam,Route 216,Gift from NPC,1,
TM14 Blizzard,Lake Acuity,on the ground,0,
TM15 Hyper Beam,Sunyshore City,Gift from NPC,1,
TM16 Light Screen,Eterna City,Galactic Building,1,
TM17 Proect,Great Marsh ~ Area 1 & 2,Gift from NPC,1,
TM18 Rain Dance,Route 223,on the ground,0,
TM19 Giga Drain,Route 209,on the ground,0,
TM20 Safeguard,Route 212 ~ North,on the ground,1,
TM21 Frustration,Galactic HQ,on the ground,0,
TM22 Solar Beam,Route 210 ~ North,on the ground,1,
TM23 Iron Tail,Iron Island,on the ground,0,
TM24 Thunderbolt,Valley Windworks,on the ground,0,
TM25 Thunder,Lake Valor,on the ground,0,
TM26 Earthquake,Veilstone City,Gift from Bertha in the Dept. Store,1,
TM27 Return,Eterna Forest,Gift from Cheryl,1,
TM28 Dig,Eterna City,Gift from NPC,1,
TM29 Psychic,Solaceon Town,Gift from Lucian,1,
TM30 Shadow Ball,Hearthome Gym,Gift from Fantina,1,
TM31 Brick Break,Oreburgh Gate,on the ground,0,
TM32 Double Team,Wayward Cave,on the ground,0,
TM33 Reflect,Eterna City,Galactic Building,1,
TM34 Shock Wave,Valley Windworks,on the ground,1,
TM35 Flamethrower,Fuego Ironworks,on the ground,0,
TM36 Sludge Bomb,Great Marsh ~ Area 1 & 2,on the ground,1,
TM37 Sandstorm,Route 228,on the ground,0,
TM38 Fire Blast,Lake Verity,on the ground,0,
TM39 Rock Tomb,Ravaged Path,on the ground,0,
TM40 Aerial Ace,Floaroma Town,Gift from NPC,1,
TM41 Torment,Route 213,on the ground,1,
TM42 Façade,Jubilife City,Gift from NPC,1,
TM43 Secret Power,Hearthome City,Amity Square,0,
TM44 Rest,Hearthome City,Gift from NPC,1,
TM45 Attract,Hearthome City,Amity Square,0,
TM46 Thief,Eterna City,on the ground,0,
TM47 Steel Wing,Route 209,on the ground,0,
TM48 Skill Swap,Canalave City,Gift from NPC,0,
TM49 Snatch,Veilstone City,Galactic Warehouse,0,
TM50 Overheat,Sunyshore City,Gift from Flint,1,
TM51 Roost,Route 210 ~ South,Gift from NPC,0,
TM52 Focus Blast,Route 217,Gift from Maylene,1,
TM53 Energy Ball,Valor Lakefront,on the ground,1,
TM54 False Swipe,Eterna City,Gift from NPC,1,
TM55 Scald,Hearthome City,Gift from NPC,1,
TM56 Fling,Route 222,on the ground,0,
TM57 Wild Charge,Sunyshore Gym,Gift from Volkner,0,
TM58 Endure,Route 203,on the ground,1,
TM59 Dragon Pulse,Maniac Tunnel,on the ground,1,
TM60 Drain Punch,Veilstone Gym,Gift from Maylene,0,
TM61 Will-O-Wisp,Lost Tower,on the ground,1,
TM62 Bug Buzz,Route 212 ~ South,on the ground,0,
TM63 Embargo,Veilstone City,Gift from NPC in the Dept. Store,0,
TM64 Explosion,Veilstone City,Gift from NPC in the Game Corner,0,
TM65 Shadow Claw,Old Chateau,on the ground,1,
TM66 Payback,Route 215,on the ground,0,
TM67 Recycle,Eterna City,Gift from NPC,0,
TM68 Giga Impact,Victory Road,on the ground,1,
TM69 Rock Polish,Mt. Coronet ~ B1F,on the ground,0,
TM70 Flash,Oreburgh Gate,on the ground,0,
TM71 Stone Edge,Ravaged Path,on the ground,1,
TM72 Avalanche,Snowpoint City,Gift from Candice,0,
TM73 Thunder Wave,Eterna City,Galactic Building,1,
TM74 Gyro Ball,Route 206,on the ground,1,
TM75 Swords Dance,Route 208,on the ground,1,
TM76 Stealth Rock,Oreburgh Gym,Gift from Roark,0,
TM77 Psych Up,Route 211 ~ East,Gift from NPC,0,
TM78 Captivate,Eterna Forest ~ Outside,Gift from NPC,0,
TM79 Dark Pulse,Veilstone City,on the ground,1,
TM80 Rock Slide,Eterna City,Gift from NPC,1,
TM81 X-Scissor,Route 208,Gift from Aaron,1,
TM82 Sleep Talk,Eterna Forest ~ Outside,on the ground,0,
TM83 Hyper Voice,Route 215,on the ground,1,
TM84 Poison Jab,Route 212 ~ South,on the ground,0,
TM85 Dazzling Gleam,Wayward Cave,Gift from Mira,1,
TM86 Grass Knot,Eterna Gym,Gift from Gardenia,0,
TM87 Swagger,Route 212 ~ North,Gift from NPC in the Pokemon Mansion,0,
TM88 Hurricane,Route 210 ~ North,on the ground,1,
TM89 U-turn,Canalave City,on the ground,0,
TM90 Substitute,Old Chateau,on the ground,0,
TM91 Flash Cannon,Canalave Gym,Gift from Byron,0,
TM92 Trick Room,Route 213,Gift from NPC,0,
HM01 Cut,Eterna City,Gift from Cynthia,0,
HM02 Fly,Veilstone City,Galactic Warehouse,0,
HM03 Surf,Celestic Town,Gift from NPC,0,
HM04 Strength,Iron Island,Gift from Riley,0,
HM05 Defog,Solaceon Ruins,on the ground,0,
HM06 Rock Smash,Oreburgh Gate,Gift from NPC,0,
HM07 Waterfall,Pastoria Gym,Gift from Wake,1,
HM08 Rock Climb,Snowpoint City,Gift from Candice,1,
Azure Flute,Hearthome City,Foreign Building - Gift from NPC,1,
Vs. Recorder,Jubilife City,Gift from Looker,0,
Bicycle,Twinleaf Town,Gift from Mom,1,
Blue Orb,Oreburgh City,Gift from Looker,1,
Coin Case,Veilstone City,Gift from NPC,0,
Fashion Case,Jubilife City,Gift from NPC,0,
Galactic Key,Galactic HQ,on the ground,0,
Gracidea Flower,Floaroma Town,Gift from NPC,0,
Good Rod,Route 209,Gift from event,0,
GS Ball,Celestic Town,Gift from Steven,1,
Jade Orb,Oreburgh City,Gift from Mom,1,
Journal,Twinleaf Town,Gift from event,0,
Lunar Wing,Fullmoon Island,Gift from NPC,0,
Member Card,Route 217,Gift from NPC,1,
Mysterious Invitation,Survival Area,"Battle ground, Gift from NPC",1,
Oak's Letter,Eterna City,Gift from Oak,1,
Old Charm,Route 210 ~ North,Gift from Cynthia,0,
Old Rod,Route 218,Gift from NPC,0,
Pal Pad,Pokemon Center,Gift from NPC in the basement,0,
Parcel,Twinleaf Town,Gift from NPC,0,
Poffin Case,Hearthome City,Gift from NPC,0,
Poke Radar,Sandgem Town,Gift from Rowan,1,
Rainbow Wing,Eterna City,Gift from Oak,1,
Red Orb,Oreburgh City,Gift from Steven,1,
Seal Case,Solaceon Town,Gift from NPC,0,
Secret Key,Team Galactic Eterna Building,on the ground,0,
Secret Potion,Valor Lakefront,Gift from Cynthia,0,
Silver Wing,Eterna City,Gift from Oak,1,
Sprayduck,Floaroma Town,Gift from NPC,0,
Suite Key,Route 213,on the ground (hidden),0,
Super Rod,Snowpoint City,Gift from NPC,1,
Tea,Pal Park,Gift from Darach,1,
Town Map,Jubilife City,Gift from rival,0,
VS Seeker,Route 207,Gift from Dawn/Lucas,0,
Works Key,Floaroma Meadow,Gift from NPC,0